Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
1804,0.1724,1252,0.10520,4.9756E-04,0.00006311,0.0003741584,0.7515
1805,0.1723,1252,0.10523,4.9792E-04,0.00006313,0.000374428,0.7515
1806,0.1723,1252,0.10526,4.9827E-04,0.00006315,0.0003746976,0.7515
1807,0.1722,1252,0.10529,4.9862E-04,0.00006316,0.0003749672,0.7515
1808,0.1721,1252,0.10532,4.9897E-04,0.00006318,0.0003752368,0.7516
1809,0.1720,1253,0.10535,4.9932E-04,0.00006319,0.0003755064,0.7516
1810,0.1719,1253,0.10538,4.9967E-04,0.00006321,0.000375776,0.7516
1811,0.1718,1253,0.10541,5.0002E-04,0.00006323,0.0003760456,0.7516
1812,0.1717,1253,0.10544,5.0037E-04,0.00006324,0.0003763152,0.7516
1813,0.1716,1253,0.10547,5.0073E-04,0.00006326,0.0003765848,0.7516
1814,0.1716,1253,0.10550,5.0108E-04,0.00006328,0.0003768544,0.7516
1815,0.1715,1253,0.10553,5.0143E-04,0.00006329,0.000377124,0.7516
1816,0.1714,1253,0.10556,5.0178E-04,0.00006331,0.0003773936,0.7517
1817,0.1713,1253,0.10559,5.0213E-04,0.00006332,0.0003776632,0.7517
1818,0.1712,1253,0.10562,5.0248E-04,0.00006334,0.0003779328,0.7517
1819,0.1711,1253,0.10565,5.0283E-04,0.00006336,0.0003782024,0.7517
1820,0.1710,1253,0.10568,5.0318E-04,0.00006337,0.000378472,0.7517
1821,0.1709,1253,0.10571,5.0354E-04,0.00006339,0.0003787416,0.7517
1822,0.1709,1253,0.10574,5.0389E-04,0.00006341,0.0003790112,0.7517
1823,0.1708,1253,0.10577,5.0424E-04,0.00006342,0.0003792808,0.7517
1824,0.1707,1253,0.10580,5.0459E-04,0.00006344,0.0003795504,0.7518
1825,0.1706,1254,0.10583,5.0494E-04,0.00006345,0.00037982,0.7518
1826,0.1705,1254,0.10586,5.0529E-04,0.00006347,0.0003800896,0.7518
1827,0.1704,1254,0.10589,5.0564E-04,0.00006349,0.0003803592,0.7518
1828,0.1703,1254,0.10592,5.0599E-04,0.00006350,0.0003806288,0.7518
1829,0.1702,1254,0.10595,5.0634E-04,0.00006352,0.0003808984,0.7518
1830,0.1702,1254,0.10598,5.0670E-04,0.00006354,0.000381168,0.7518
1831,0.1701,1254,0.10601,5.0705E-04,0.00006355,0.0003814376,0.7518
1832,0.1700,1254,0.10604,5.0740E-04,0.00006357,0.0003817072,0.7519
1833,0.1699,1254,0.10607,5.0775E-04,0.00006358,0.0003819768,0.7519
1834,0.1698,1254,0.10610,5.0810E-04,0.00006360,0.0003822464,0.7519
1835,0.1697,1254,0.10613,5.0845E-04,0.00006362,0.000382516,0.7519
1836,0.1696,1254,0.10616,5.0880E-04,0.00006363,0.0003827856,0.7519
1837,0.1695,1254,0.10619,5.0915E-04,0.00006365,0.0003830552,0.7519
1838,0.1695,1254,0.10622,5.0951E-04,0.00006367,0.0003833248,0.7519
1839,0.1694,1254,0.10625,5.0986E-04,0.00006368,0.0003835944,0.7519
1840,0.1693,1254,0.10629,5.1021E-04,0.00006370,0.000383864,0.7519
